Date,Agegroup,At least one dose_cumulative,Second_dose_cumulative,Total population,Percent_at_least_one_dose,Percent_fully_vaccinated
2021-01-28,Undisclosed_or_missing,164,6,0,,
2021-01-29,12-17yrs,235,63,951519,0,0
2021-01-29,18-29yrs,28008,8480,2455535,0.011,0.003
2021-01-29,30-39yrs,37481,12243,2056059,0.018,0.006
2021-01-29,40-49yrs,39803,13470,1876583,0.021,0.007
2021-01-29,50-59yrs,46852,15237,2060934,0.023,0.007
2021-01-29,60-69yrs,34461,9389,1795046,0.019,0.005
2021-01-29,70-79yrs,19155,2122,1159902,0.017,0.002
2021-01-29,80+,65761,1827,679266,0.097,0.003
2021-01-29,Adults_18plus,271521,62768,12083325,0.022,0.005
2021-01-29,Ontario_12plus,271756,62831,13034844,0.0208,0.0048
2021-01-29,Undisclosed_or_missing,178,10,0,,
2021-01-30,12-17yrs,235,65,951519,0,0
2021-01-30,18-29yrs,28039,9302,2455535,0.011,0.004
2021-01-30,30-39yrs,37526,13480,2056059,0.018,0.007
2021-01-30,40-49yrs,39858,14717,1876583,0.021,0.008
2021-01-30,50-59yrs,46960,16670,2060934,0.023,0.008
2021-01-30,60-69yrs,34632,10276,1795046,0.019,0.006
2021-01-30,70-79yrs,19455,2368,1159902,0.017,0.002
2021-01-30,80+,67025,2179,679266,0.099,0.003
2021-01-30,Adults_18plus,273495,68992,12083325,0.023,0.006
2021-01-30,Ontario_12plus,273730,69057,13034844,0.021,0.0053
2021-01-30,Undisclosed_or_missing,179,10,0,,
2021-01-31,12-17yrs,235,66,951519,0,0
2021-01-31,18-29yrs,28053,9398,2455535,0.011,0.004
2021-01-31,30-39yrs,37546,13590,2056059,0.018,0.007
2021-01-31,40-49yrs,39879,14847,1876583,0.021,0.008
2021-01-31,50-59yrs,46993,16808,2060934,0.023,0.008
2021-01-31,60-69yrs,34685,10414,1795046,0.019,0.006
2021-01-31,70-79yrs,19593,2555,1159902,0.017,0.002
2021-01-31,80+,67909,2986,679266,0.1,0.004
2021-01-31,Adults_18plus,274658,70598,12083325,0.023,0.006
2021-01-31,Ontario_12plus,274893,70664,13034844,0.0211,0.0054
2021-01-31,Undisclosed_or_missing,179,11,0,,
2021-02-01,12-17yrs,236,66,951519,0,0
2021-02-01,18-29yrs,28056,9435,2455535,0.011,0.004
2021-02-01,30-39yrs,37552,13610,2056059,0.018,0.007
2021-02-01,40-49yrs,39885,14922,1876583,0.021,0.008
2021-02-01,50-59yrs,47005,16901,2060934,0.023,0.008
2021-02-01,60-69yrs,34696,10582,1795046,0.019,0.006
2021-02-01,70-79yrs,19614,2855,1159902,0.017,0.002
2021-02-01,80+,68090,3789,679266,0.1,0.006
2021-02-01,Adults_18plus,274898,72094,12083325,0.023,0.006
2021-02-01,Ontario_12plus,275134,72160,13034844,0.0211,0.0055
2021-02-01,Undisclosed_or_missing,179,12,0,,
2021-02-02,12-17yrs,236,67,951519,0,0
2021-02-02,18-29yrs,28099,9504,2455535,0.011,0.004
2021-02-02,30-39yrs,37601,13722,2056059,0.018,0.007
2021-02-02,40-49yrs,39928,15078,1876583,0.021,0.008
2021-02-02,50-59yrs,47059,17142,2060934,0.023,0.008
2021-02-02,60-69yrs,34745,10841,1795046,0.019,0.006
2021-02-02,70-79yrs,19660,3233,1159902,0.017,0.003
2021-02-02,80+,68332,5233,679266,0.101,0.008
2021-02-02,Adults_18plus,275424,74753,12083325,0.023,0.006
2021-02-02,Ontario_12plus,275660,74820,13034844,0.0211,0.0057
2021-02-02,Undisclosed_or_missing,180,16,0,,
2021-02-03,12-17yrs,236,67,951519,0,0
2021-02-03,18-29yrs,28167,9649,2455535,0.011,0.004
2021-02-03,30-39yrs,37672,13953,2056059,0.018,0.007
2021-02-03,40-49yrs,39994,15319,1876583,0.021,0.008
2021-02-03,50-59yrs,47156,17495,2060934,0.023,0.008
2021-02-03,60-69yrs,34824,11281,1795046,0.019,0.006
2021-02-03,70-79yrs,19738,3776,1159902,0.017,0.003
2021-02-03,80+,68657,7362,679266,0.101,0.011
2021-02-03,Adults_18plus,276208,78835,12083325,0.023,0.007
2021-02-03,Ontario_12plus,276444,78902,13034844,0.0212,0.0061
2021-02-03,Undisclosed_or_missing,182,23,0,,
2021-02-04,12-17yrs,237,72,951519,0,0
2021-02-04,18-29yrs,28287,9921,2455535,0.012,0.004
2021-02-04,30-39yrs,37776,14290,2056059,0.018,0.007
2021-02-04,40-49yrs,40066,15715,1876583,0.021,0.008
2021-02-04,50-59yrs,47230,17994,2060934,0.023,0.009
2021-02-04,60-69yrs,34880,11821,1795046,0.019,0.007
2021-02-04,70-79yrs,19806,4643,1159902,0.017,0.004
2021-02-04,80+,68945,11280,679266,0.101,0.017
2021-02-04,Adults_18plus,276990,85664,12083325,0.023,0.007
2021-02-04,Ontario_12plus,277227,85736,13034844,0.0213,0.0066
2021-02-04,Undisclosed_or_missing,192,33,0,,
2021-02-05,12-17yrs,237,75,951519,0,0
2021-02-05,18-29yrs,28325,10117,2455535,0.012,0.004
2021-02-05,30-39yrs,37821,14559,2056059,0.018,0.007
2021-02-05,40-49yrs,40128,16054,1876583,0.021,0.009
2021-02-05,50-59yrs,47316,18496,2060934,0.023,0.009
2021-02-05,60-69yrs,34942,12494,1795046,0.019,0.007
2021-02-05,70-79yrs,19889,5514,1159902,0.017,0.005
2021-02-05,80+,69112,14836,679266,0.102,0.022
2021-02-05,Adults_18plus,277533,92070,12083325,0.023,0.008
2021-02-05,Ontario_12plus,277770,92145,13034844,0.0213,0.0071
2021-02-05,Undisclosed_or_missing,192,35,0,,
2021-02-06,12-17yrs,237,77,951519,0,0
2021-02-06,18-29yrs,28380,10379,2455535,0.012,0.004
2021-02-06,30-39yrs,37877,14934,2056059,0.018,0.007
2021-02-06,40-49yrs,40199,16554,1876583,0.021,0.009
2021-02-06,50-59yrs,47423,19231,2060934,0.023,0.009
2021-02-06,60-69yrs,35046,13295,1795046,0.02,0.007
2021-02-06,70-79yrs,20013,6523,1159902,0.017,0.006
2021-02-06,80+,69484,19376,679266,0.102,0.029
2021-02-06,Adults_18plus,278422,100292,12083325,0.023,0.008
2021-02-06,Ontario_12plus,278659,100369,13034844,0.0214,0.0077
2021-02-06,Undisclosed_or_missing,192,47,0,,
2021-02-07,12-17yrs,237,78,951519,0,0
2021-02-07,18-29yrs,28409,10676,2455535,0.012,0.004
2021-02-07,30-39yrs,37922,15318,2056059,0.018,0.007
2021-02-07,40-49yrs,40249,16962,1876583,0.021,0.009
2021-02-07,50-59yrs,47496,19852,2060934,0.023,0.01
2021-02-07,60-69yrs,35168,13918,1795046,0.02,0.008
2021-02-07,70-79yrs,20202,7239,1159902,0.017,0.006
2021-02-07,80+,70333,21891,679266,0.104,0.032
2021-02-07,Adults_18plus,279779,105856,12083325,0.023,0.009
2021-02-07,Ontario_12plus,280016,105934,13034844,0.0215,0.0081
2021-02-07,Undisclosed_or_missing,195,52,0,,
2021-02-08,12-17yrs,237,80,951519,0,0
2021-02-08,18-29yrs,28460,10937,2455535,0.012,0.004
2021-02-08,30-39yrs,37989,15617,2056059,0.018,0.008
2021-02-08,40-49yrs,40342,17291,1876583,0.021,0.009
2021-02-08,50-59yrs,47637,20312,2060934,0.023,0.01
2021-02-08,60-69yrs,35391,14420,1795046,0.02,0.008
2021-02-08,70-79yrs,20553,7807,1159902,0.018,0.007
2021-02-08,80+,72181,24341,679266,0.106,0.036
2021-02-08,Adults_18plus,282553,110725,12083325,0.023,0.009
2021-02-08,Ontario_12plus,282790,110805,13034844,0.0217,0.0085
2021-02-08,Undisclosed_or_missing,195,55,0,,
2021-02-09,12-17yrs,237,91,951519,0,0
2021-02-09,18-29yrs,28530,11507,2455535,0.012,0.005
2021-02-09,30-39yrs,38094,16414,2056059,0.019,0.008
2021-02-09,40-49yrs,40447,18157,1876583,0.022,0.01
2021-02-09,50-59yrs,47826,21440,2060934,0.023,0.01
2021-02-09,60-69yrs,35616,15458,1795046,0.02,0.009
2021-02-09,70-79yrs,20922,8917,1159902,0.018,0.008
2021-02-09,80+,73897,29512,679266,0.109,0.043
2021-02-09,Adults_18plus,285332,121405,12083325,0.024,0.01
2021-02-09,Ontario_12plus,285569,121496,13034844,0.0219,0.0093
2021-02-09,Undisclosed_or_missing,196,64,0,,
2021-02-10,12-17yrs,237,103,951519,0,0
2021-02-10,18-29yrs,28615,12258,2455535,0.012,0.005
2021-02-10,30-39yrs,38204,17244,2056059,0.019,0.008
2021-02-10,40-49yrs,40609,19174,1876583,0.022,0.01
2021-02-10,50-59yrs,48065,22773,2060934,0.023,0.011
2021-02-10,60-69yrs,35925,16684,1795046,0.02,0.009
2021-02-10,70-79yrs,21377,9845,1159902,0.018,0.008
2021-02-10,80+,76011,33472,679266,0.112,0.049
2021-02-10,Adults_18plus,288806,131450,12083325,0.024,0.011
2021-02-10,Ontario_12plus,289043,131553,13034844,0.0222,0.0101
2021-02-10,Undisclosed_or_missing,203,67,0,,
2021-02-11,12-17yrs,239,116,951519,0,0
2021-02-11,18-29yrs,28690,13141,2455535,0.012,0.005
2021-02-11,30-39yrs,38285,18353,2056059,0.019,0.009
2021-02-11,40-49yrs,40725,20503,1876583,0.022,0.011
2021-02-11,50-59yrs,48230,24507,2060934,0.023,0.012
2021-02-11,60-69yrs,36140,17970,1795046,0.02,0.01
2021-02-11,70-79yrs,21742,10806,1159902,0.019,0.009
2021-02-11,80+,77955,37756,679266,0.115,0.056
2021-02-11,Adults_18plus,291767,143036,12083325,0.024,0.012
2021-02-11,Ontario_12plus,292006,143152,13034844,0.0224,0.011
2021-02-11,Undisclosed_or_missing,209,73,0,,
2021-02-12,12-17yrs,239,131,951519,0,0
2021-02-12,18-29yrs,28773,14562,2455535,0.012,0.006
2021-02-12,30-39yrs,38376,20219,2056059,0.019,0.01
2021-02-12,40-49yrs,40818,22416,1876583,0.022,0.012
2021-02-12,50-59yrs,48364,26679,2060934,0.023,0.013
2021-02-12,60-69yrs,36306,19583,1795046,0.02,0.011
2021-02-12,70-79yrs,21868,11872,1159902,0.019,0.01
2021-02-12,80+,78571,42491,679266,0.116,0.063
2021-02-12,Adults_18plus,293076,157822,12083325,0.024,0.013
2021-02-12,Ontario_12plus,293315,157953,13034844,0.0225,0.0121
2021-02-12,Undisclosed_or_missing,214,80,0,,
2021-02-13,12-17yrs,240,141,951519,0,0
2021-02-13,18-29yrs,28840,15964,2455535,0.012,0.007
2021-02-13,30-39yrs,38440,22036,2056059,0.019,0.011
2021-02-13,40-49yrs,40890,24268,1876583,0.022,0.013
2021-02-13,50-59yrs,48471,28801,2060934,0.024,0.014
2021-02-13,60-69yrs,36436,21138,1795046,0.02,0.012
2021-02-13,70-79yrs,22041,12800,1159902,0.019,0.011
2021-02-13,80+,79186,45882,679266,0.117,0.068
2021-02-13,Adults_18plus,294304,170889,12083325,0.024,0.014
2021-02-13,Ontario_12plus,294544,171030,13034844,0.0226,0.0131
2021-02-13,Undisclosed_or_missing,218,88,0,,
2021-02-14,12-17yrs,240,155,951519,0,0
2021-02-14,18-29yrs,28882,17365,2455535,0.012,0.007
2021-02-14,30-39yrs,38480,23846,2056059,0.019,0.012
2021-02-14,40-49yrs,40929,26091,1876583,0.022,0.014
2021-02-14,50-59yrs,48514,30879,2060934,0.024,0.015
2021-02-14,60-69yrs,36487,22719,1795046,0.02,0.013
2021-02-14,70-79yrs,22070,13461,1159902,0.019,0.012
2021-02-14,80+,79458,48122,679266,0.117,0.071
2021-02-14,Adults_18plus,294820,182483,12083325,0.024,0.015
2021-02-14,Ontario_12plus,295060,182638,13034844,0.0226,0.014
2021-02-14,Undisclosed_or_missing,218,91,0,,
2021-02-15,12-17yrs,242,163,951519,0,0
2021-02-15,18-29yrs,28900,18298,2455535,0.012,0.007
2021-02-15,30-39yrs,38512,24951,2056059,0.019,0.012
2021-02-15,40-49yrs,40955,27306,1876583,0.022,0.015
2021-02-15,50-59yrs,48536,32234,2060934,0.024,0.016
2021-02-15,60-69yrs,36504,23698,1795046,0.02,0.013
2021-02-15,70-79yrs,22089,13868,1159902,0.019,0.012
2021-02-15,80+,79511,49336,679266,0.117,0.073
2021-02-15,Adults_18plus,295007,189691,12083325,0.024,0.016
2021-02-15,Ontario_12plus,295249,189854,13034844,0.0227,0.0146
2021-02-15,Undisclosed_or_missing,219,93,0,,
2021-02-16,12-17yrs,242,170,951519,0,0
2021-02-16,18-29yrs,28929,18792,2455535,0.012,0.008
2021-02-16,30-39yrs,38543,25630,2056059,0.019,0.012
2021-02-16,40-49yrs,40989,28008,1876583,0.022,0.015
2021-02-16,50-59yrs,48613,33014,2060934,0.024,0.016
2021-02-16,60-69yrs,36545,24323,1795046,0.02,0.014
2021-02-16,70-79yrs,22108,14155,1159902,0.019,0.012
2021-02-16,80+,79548,50381,679266,0.117,0.074
2021-02-16,Adults_18plus,295275,194303,12083325,0.024,0.016
2021-02-16,Ontario_12plus,295517,194473,13034844,0.0227,0.0149
2021-02-16,Undisclosed_or_missing,222,95,0,,
2021-02-17,12-17yrs,244,174,951519,0,0
2021-02-17,18-29yrs,28990,19725,2455535,0.012,0.008
2021-02-17,30-39yrs,38611,26933,2056059,0.019,0.013
2021-02-17,40-49yrs,41040,29359,1876583,0.022,0.016
2021-02-17,50-59yrs,48708,34611,2060934,0.024,0.017
2021-02-17,60-69yrs,36621,25434,1795046,0.02,0.014
2021-02-17,70-79yrs,22168,14617,1159902,0.019,0.013
2021-02-17,80+,79734,51636,679266,0.117,0.076
2021-02-17,Adults_18plus,295872,202315,12083325,0.024,0.017
2021-02-17,Ontario_12plus,296116,202489,13034844,0.0227,0.0155
2021-02-17,Undisclosed_or_missing,222,99,0,,
2021-02-18,12-17yrs,245,180,951519,0,0
2021-02-18,18-29yrs,29225,20698,2455535,0.012,0.008
2021-02-18,30-39yrs,38854,28293,2056059,0.019,0.014
2021-02-18,40-49yrs,41311,30752,1876583,0.022,0.016
2021-02-18,50-59yrs,49124,36175,2060934,0.024,0.018
2021-02-18,60-69yrs,37017,26664,1795046,0.021,0.015
2021-02-18,70-79yrs,22331,15344,1159902,0.019,0.013
2021-02-18,80+,80037,54726,679266,0.118,0.081
2021-02-18,Adults_18plus,297899,212652,12083325,0.025,0.018
2021-02-18,Ontario_12plus,298144,212832,13034844,0.0229,0.0163
2021-02-18,Undisclosed_or_missing,231,100,0,,
2021-02-19,12-17yrs,253,190,951519,0,0
2021-02-19,18-29yrs,29806,22064,2455535,0.012,0.009
2021-02-19,30-39yrs,39490,30169,2056059,0.019,0.015
2021-02-19,40-49yrs,42010,32604,1876583,0.022,0.017
2021-02-19,50-59yrs,50024,38430,2060934,0.024,0.019
2021-02-19,60-69yrs,37936,28244,1795046,0.021,0.016
2021-02-19,70-79yrs,22776,16030,1159902,0.02,0.014
2021-02-19,80+,81137,56670,679266,0.119,0.083
2021-02-19,Adults_18plus,303179,224211,12083325,0.025,0.019
2021-02-19,Ontario_12plus,303432,224401,13034844,0.0233,0.0172
2021-02-19,Undisclosed_or_missing,233,102,0,,
2021-02-20,12-17yrs,264,203,951519,0,0
2021-02-20,18-29yrs,31057,23546,2455535,0.013,0.01
2021-02-20,30-39yrs,41081,32043,2056059,0.02,0.016
2021-02-20,40-49yrs,43553,34495,1876583,0.023,0.018
2021-02-20,50-59yrs,51947,40616,2060934,0.025,0.02
2021-02-20,60-69yrs,39645,29762,1795046,0.022,0.017
2021-02-20,70-79yrs,23498,16577,1159902,0.02,0.014
2021-02-20,80+,82758,58030,679266,0.122,0.085
2021-02-20,Adults_18plus,313539,235069,12083325,0.026,0.019
2021-02-20,Ontario_12plus,313803,235272,13034844,0.0241,0.018
2021-02-20,Undisclosed_or_missing,242,114,0,,
2021-02-21,12-17yrs,278,208,951519,0,0
2021-02-21,18-29yrs,32322,24416,2455535,0.013,0.01
2021-02-21,30-39yrs,42746,33262,2056059,0.021,0.016
2021-02-21,40-49yrs,45042,35707,1876583,0.024,0.019
2021-02-21,50-59yrs,53927,41941,2060934,0.026,0.02
2021-02-21,60-69yrs,41223,30696,1795046,0.023,0.017
2021-02-21,70-79yrs,24128,16892,1159902,0.021,0.015
2021-02-21,80+,84131,58680,679266,0.124,0.086
2021-02-21,Adults_18plus,323519,241594,12083325,0.027,0.02
2021-02-21,Ontario_12plus,323797,241802,13034844,0.0248,0.0186
2021-02-21,Undisclosed_or_missing,252,117,0,,
2021-02-22,12-17yrs,291,212,951519,0,0
2021-02-22,18-29yrs,33360,25175,2455535,0.014,0.01
2021-02-22,30-39yrs,44015,34176,2056059,0.021,0.017
2021-02-22,40-49yrs,46258,36546,1876583,0.025,0.019
2021-02-22,50-59yrs,55541,42857,2060934,0.027,0.021
2021-02-22,60-69yrs,42587,31294,1795046,0.024,0.017
2021-02-22,70-79yrs,24741,17070,1159902,0.021,0.015
2021-02-22,80+,85449,59075,679266,0.126,0.087
2021-02-22,Adults_18plus,331951,246193,12083325,0.027,0.02
2021-02-22,Ontario_12plus,332242,246405,13034844,0.0255,0.0189
2021-02-22,Undisclosed_or_missing,255,121,0,,
2021-02-23,12-17yrs,306,216,951519,0,0
2021-02-23,18-29yrs,34486,26034,2455535,0.014,0.011
2021-02-23,30-39yrs,45470,35267,2056059,0.022,0.017
2021-02-23,40-49yrs,47678,37559,1876583,0.025,0.02
2021-02-23,50-59yrs,57406,44024,2060934,0.028,0.021
2021-02-23,60-69yrs,44192,32125,1795046,0.025,0.018
2021-02-23,70-79yrs,25428,17380,1159902,0.022,0.015
2021-02-23,80+,87349,59887,679266,0.129,0.088
2021-02-23,Adults_18plus,342009,252276,12083325,0.028,0.021
2021-02-23,Ontario_12plus,342315,252492,13034844,0.0263,0.0194
2021-02-23,Undisclosed_or_missing,262,125,0,,
2021-02-24,12-17yrs,325,217,951519,0,0
2021-02-24,18-29yrs,36062,26590,2455535,0.015,0.011
2021-02-24,30-39yrs,47393,35887,2056059,0.023,0.017
2021-02-24,40-49yrs,49653,38157,1876583,0.026,0.02
2021-02-24,50-59yrs,59730,44822,2060934,0.029,0.022
2021-02-24,60-69yrs,46076,32705,1795046,0.026,0.018
2021-02-24,70-79yrs,26143,17706,1159902,0.023,0.015
2021-02-24,80+,89378,60812,679266,0.132,0.09
2021-02-24,Adults_18plus,354435,256679,12083325,0.029,0.021
2021-02-24,Ontario_12plus,354760,256896,13034844,0.0272,0.0197
2021-02-24,Undisclosed_or_missing,282,125,0,,
2021-02-25,12-17yrs,341,220,951519,0,0
2021-02-25,18-29yrs,38090,27007,2455535,0.016,0.011
2021-02-25,30-39yrs,49932,36373,2056059,0.024,0.018
2021-02-25,40-49yrs,52266,38729,1876583,0.028,0.021
2021-02-25,50-59yrs,62978,45481,2060934,0.031,0.022
2021-02-25,60-69yrs,48567,33200,1795046,0.027,0.018
2021-02-25,70-79yrs,27044,17970,1159902,0.023,0.015
2021-02-25,80+,90929,61473,679266,0.134,0.09
2021-02-25,Adults_18plus,369806,260233,12083325,0.031,0.022
2021-02-25,Ontario_12plus,370147,260453,13034844,0.0284,0.02
2021-02-25,Undisclosed_or_missing,295,132,0,,
2021-02-26,12-17yrs,367,220,951519,0,0
2021-02-26,18-29yrs,40789,27323,2455535,0.017,0.011
2021-02-26,30-39yrs,53362,36733,2056059,0.026,0.018
2021-02-26,40-49yrs,55720,39072,1876583,0.03,0.021
2021-02-26,50-59yrs,67263,45940,2060934,0.033,0.022
2021-02-26,60-69yrs,51938,33509,1795046,0.029,0.019
2021-02-26,70-79yrs,28330,18176,1159902,0.024,0.016
2021-02-26,80+,92753,61912,679266,0.137,0.091
2021-02-26,Adults_18plus,390155,262665,12083325,0.032,0.022
2021-02-26,Ontario_12plus,390522,262885,13034844,0.03,0.0202
2021-02-26,Undisclosed_or_missing,321,133,0,,
2021-02-27,12-17yrs,387,220,951519,0,0
2021-02-27,18-29yrs,43967,27411,2455535,0.018,0.011
2021-02-27,30-39yrs,57704,36835,2056059,0.028,0.018
2021-02-27,40-49yrs,59770,39201,1876583,0.032,0.021
2021-02-27,50-59yrs,72074,46151,2060934,0.035,0.022
2021-02-27,60-69yrs,55474,33818,1795046,0.031,0.019
2021-02-27,70-79yrs,29458,18657,1159902,0.025,0.016
2021-02-27,80+,94137,63738,679266,0.139,0.094
2021-02-27,Adults_18plus,412584,265811,12083325,0.034,0.022
2021-02-27,Ontario_12plus,412971,266031,13034844,0.0317,0.0204
2021-02-27,Undisclosed_or_missing,347,145,0,,
2021-02-28,12-17yrs,422,222,951519,0,0
2021-02-28,18-29yrs,46788,27489,2455535,0.019,0.011
2021-02-28,30-39yrs,60967,36939,2056059,0.03,0.018
2021-02-28,40-49yrs,62969,39298,1876583,0.034,0.021
2021-02-28,50-59yrs,75900,46301,2060934,0.037,0.022
2021-02-28,60-69yrs,58203,33959,1795046,0.032,0.019
2021-02-28,70-79yrs,30361,18805,1159902,0.026,0.016
2021-02-28,80+,95935,64142,679266,0.141,0.094
2021-02-28,Adults_18plus,431123,266933,12083325,0.036,0.022
2021-02-28,Ontario_12plus,431545,267155,13034844,0.0331,0.0205
2021-02-28,Undisclosed_or_missing,375,145,0,,
2021-03-01,12-17yrs,451,223,951519,0,0
2021-03-01,18-29yrs,49290,27543,2455535,0.02,0.011
2021-03-01,30-39yrs,63780,36994,2056059,0.031,0.018
2021-03-01,40-49yrs,65676,39372,1876583,0.035,0.021
2021-03-01,50-59yrs,79281,46378,2060934,0.038,0.023
2021-03-01,60-69yrs,60684,34055,1795046,0.034,0.019
2021-03-01,70-79yrs,31165,18917,1159902,0.027,0.016
2021-03-01,80+,97845,64655,679266,0.144,0.095
2021-03-01,Adults_18plus,447721,267914,12083325,0.037,0.022
2021-03-01,Ontario_12plus,448172,268137,13034844,0.0344,0.0206
2021-03-01,Undisclosed_or_missing,386,147,0,,
2021-03-02,12-17yrs,476,226,951519,0.001,0
2021-03-02,18-29yrs,51867,27610,2455535,0.021,0.011
2021-03-02,30-39yrs,67064,37075,2056059,0.033,0.018
2021-03-02,40-49yrs,69099,39464,1876583,0.037,0.021
2021-03-02,50-59yrs,83086,46527,2060934,0.04,0.023
2021-03-02,60-69yrs,63201,34257,1795046,0.035,0.019
2021-03-02,70-79yrs,32025,19125,1159902,0.028,0.016
2021-03-02,80+,102017,65515,679266,0.15,0.096
2021-03-02,Adults_18plus,468359,269573,12083325,0.039,0.022
2021-03-02,Ontario_12plus,468835,269799,13034844,0.036,0.0207
2021-03-02,Undisclosed_or_missing,411,148,0,,
2021-03-03,12-17yrs,498,227,951519,0.001,0
2021-03-03,18-29yrs,55011,27694,2455535,0.022,0.011
2021-03-03,30-39yrs,70971,37176,2056059,0.035,0.018
2021-03-03,40-49yrs,73106,39567,1876583,0.039,0.021
2021-03-03,50-59yrs,87711,46687,2060934,0.043,0.023
2021-03-03,60-69yrs,66502,34436,1795046,0.037,0.019
2021-03-03,70-79yrs,33288,19370,1159902,0.029,0.017
2021-03-03,80+,107602,66412,679266,0.158,0.098
2021-03-03,Adults_18plus,494191,271342,12083325,0.041,0.022
2021-03-03,Ontario_12plus,494689,271569,13034844,0.038,0.0208
2021-03-03,Undisclosed_or_missing,444,152,0,,
2021-03-04,12-17yrs,541,227,951519,0.001,0
2021-03-04,18-29yrs,58247,27815,2455535,0.024,0.011
2021-03-04,30-39yrs,75175,37283,2056059,0.037,0.018
2021-03-04,40-49yrs,77482,39651,1876583,0.041,0.021
2021-03-04,50-59yrs,92954,46810,2060934,0.045,0.023
2021-03-04,60-69yrs,70404,34553,1795046,0.039,0.019
2021-03-04,70-79yrs,34706,19526,1159902,0.03,0.017
2021-03-04,80+,115260,67086,679266,0.17,0.099
2021-03-04,Adults_18plus,524228,272724,12083325,0.043,0.023
2021-03-04,Ontario_12plus,524769,272951,13034844,0.0403,0.0209
2021-03-04,Undisclosed_or_missing,462,152,0,,
2021-03-05,12-17yrs,588,227,951519,0.001,0
2021-03-05,18-29yrs,62195,27843,2455535,0.025,0.011
2021-03-05,30-39yrs,80002,37330,2056059,0.039,0.018
2021-03-05,40-49yrs,82475,39690,1876583,0.044,0.021
2021-03-05,50-59yrs,98659,46870,2060934,0.048,0.023
2021-03-05,60-69yrs,74508,34640,1795046,0.042,0.019
2021-03-05,70-79yrs,36175,19622,1159902,0.031,0.017
2021-03-05,80+,125824,67599,679266,0.185,0.1
2021-03-05,Adults_18plus,559838,273594,12083325,0.046,0.023
2021-03-05,Ontario_12plus,560426,273821,13034844,0.043,0.021
2021-03-05,Undisclosed_or_missing,531,152,0,,
2021-03-06,12-17yrs,640,227,951519,0.001,0
2021-03-06,18-29yrs,66381,27906,2455535,0.027,0.011
2021-03-06,30-39yrs,85336,37405,2056059,0.042,0.018
2021-03-06,40-49yrs,88092,39781,1876583,0.047,0.021
2021-03-06,50-59yrs,105053,47025,2060934,0.051,0.023
2021-03-06,60-69yrs,79114,34804,1795046,0.044,0.019
2021-03-06,70-79yrs,38064,19779,1159902,0.033,0.017
2021-03-06,80+,137631,68268,679266,0.203,0.101
2021-03-06,Adults_18plus,599671,274968,12083325,0.05,0.023
2021-03-06,Ontario_12plus,600311,275195,13034844,0.0461,0.0211
2021-03-06,Undisclosed_or_missing,547,152,0,,
2021-03-07,12-17yrs,688,228,951519,0.001,0
2021-03-07,18-29yrs,69566,27913,2455535,0.028,0.011
2021-03-07,30-39yrs,89412,37418,2056059,0.043,0.018
2021-03-07,40-49yrs,92224,39803,1876583,0.049,0.021
2021-03-07,50-59yrs,109666,47063,2060934,0.053,0.023
2021-03-07,60-69yrs,82363,34871,1795046,0.046,0.019
2021-03-07,70-79yrs,39541,19903,1159902,0.034,0.017
2021-03-07,80+,146812,68881,679266,0.216,0.101
2021-03-07,Adults_18plus,629584,275852,12083325,0.052,0.023
2021-03-07,Ontario_12plus,630272,276080,13034844,0.0484,0.0212
2021-03-07,Undisclosed_or_missing,558,152,0,,
2021-03-08,12-17yrs,729,229,951519,0.001,0
2021-03-08,18-29yrs,72036,27947,2455535,0.029,0.011
2021-03-08,30-39yrs,92200,37468,2056059,0.045,0.018
2021-03-08,40-49yrs,95060,39854,1876583,0.051,0.021
2021-03-08,50-59yrs,112738,47138,2060934,0.055,0.023
2021-03-08,60-69yrs,84305,34991,1795046,0.047,0.019
2021-03-08,70-79yrs,40435,20113,1159902,0.035,0.017
2021-03-08,80+,153953,69983,679266,0.227,0.103
2021-03-08,Adults_18plus,650727,277494,12083325,0.054,0.023
2021-03-08,Ontario_12plus,651456,277723,13034844,0.05,0.0213
2021-03-08,Undisclosed_or_missing,570,152,0,,
2021-03-09,12-17yrs,756,229,951519,0.001,0
2021-03-09,18-29yrs,74496,28017,2455535,0.03,0.011
2021-03-09,30-39yrs,95214,37554,2056059,0.046,0.018
2021-03-09,40-49yrs,98095,39946,1876583,0.052,0.021
2021-03-09,50-59yrs,116130,47301,2060934,0.056,0.023
2021-03-09,60-69yrs,86769,35197,1795046,0.048,0.02
2021-03-09,70-79yrs,41883,20440,1159902,0.036,0.018
2021-03-09,80+,165980,71575,679266,0.244,0.105
2021-03-09,Adults_18plus,678567,280030,12083325,0.056,0.023
2021-03-09,Ontario_12plus,679323,280259,13034844,0.0521,0.0215
2021-03-09,Undisclosed_or_missing,572,153,0,,
2021-03-10,12-17yrs,786,229,951519,0.001,0
2021-03-10,18-29yrs,77064,28106,2455535,0.031,0.011
2021-03-10,30-39yrs,98303,37661,2056059,0.048,0.018
2021-03-10,40-49yrs,101406,40086,1876583,0.054,0.021
2021-03-10,50-59yrs,119919,47512,2060934,0.058,0.023
2021-03-10,60-69yrs,89818,35450,1795046,0.05,0.02
2021-03-10,70-79yrs,43452,20823,1159902,0.037,0.018
2021-03-10,80+,180338,73421,679266,0.265,0.108
2021-03-10,Adults_18plus,710300,283059,12083325,0.059,0.023
